rómhraím	rómhair
róstaim	róst
róstann	róst
rúnscríobhaim	rúnscríobh
sacaim	sac
sadhlasaím	sadhlasaigh
saibhseálaim	saibhseáil
saibhseálann	saibhseáil
saillim	saill
sainoidhrím	sainoidhrigh
sainím	sainigh
salaím	salaigh
samhlaím	samhlaigh
samhraím	samhraigh
sannaim	sann
santaím	santaigh
saobhaim	saobh
saoirsím	saoirsigh
saoirsíonn	saoirsigh
saoraim	saor
saothraím	saothraigh
scagaim	scag
scagdhealaím	scagdhealaigh
scaipeann	scaip
scaipim	scaip
scairdeann	scaird
scairtim	scairt
scallaim	scall
scallann	scall
scamhaim	scamh
scamhann	scamh
scanaim	scan
scanraím	scanraigh
scaoileann	scaoil
scaoilim	scaoil
scaraim	scar
scarann	scar
scarshiúntaím	scarshiúntaigh
sceimhlím	sceimhligh
sceitheann	sceith
sceithim	sceith
sceitseálaim	sceitseáil
sciamhaím	sciamhaigh
scilim	scil
sciobaim	sciob
sciollaim	scioll
sciomraím	sciomair
sciotaim	sciot
scirmisím	scirmisigh
sciúraim	sciúr
scoilteann	scoilt
scoiltim	scoilt
scoireann	scoir
scoirim	scoir
scoitheann	scoith
scoithim	scoith
scolbálaim	scolbáil
scoraim	scor
scoth-thriomaím	scoth-thriomaigh
screadaim	scread
screamhchruaim	screamhchruaigh
scriosaim	scrios
scriosann	scrios
scrobhaim	scrobh
scríobaim	scríob
scríobann	scríob
scríobhaim	scríobh
scrúdaim	scrúd
scrúdaím	scrúdaigh
scuabaim	scuab
scuabann	scuab
